asset,liab,m_d,m_p,ir,gn
0.0,16600000.0,,<30,1.6746,45
5500000.0,0.0,,<30,1.6746,45
0.0,54800000.0,,<30,1.6746,45
60300000.0,0.0,,<30,1.6746,45
76000000.0,0.0,,<30,1.6746,45
0.0,20000000.0,,<30,1.6746,45
0.0,45900000.0,,<30,1.6746,45
40000000.0,0.0,,<30,1.6746,45
0.0,10000000.0,,<30,1.6746,45
0.0,10500000.0,,<30,1.6746,45
14000000.0,0.0,,<30,1.6746,45
0.0,18000000.0,,<30,1.6746,45
0.0,50700000.0,,<30,1.6746,45
64000000.0,0.0,,<30,1.6746,45
0.0,10400000.0,,<30,1.6746,45
0.0,45900000.0,,<30,1.6746,45
0.0,16700000.0,,<30,1.6746,45
16000000.0,0.0,,<30,1.6746,45
0.0,10000000.0,,<30,1.6746,45
0.0,55000000.0,,<30,1.6746,45
0.0,20900000.0,,<30,1.6746,45
0.0,200000000.0,,<30,1.6746,45
10400000.0,0.0,,<30,1.6746,45
0.0,30600000.0,,<30,1.6746,45
0.0,12200000.0,,<30,1.6746,45
4400000.0,0.0,,<30,1.6746,45
45900000.0,0.0,,<30,1.6746,45
0.0,67200000.0,,<30,1.6746,45
0.0,31000000.0,,<30,1.6746,45
21000000.0,0.0,,<30,1.6746,45
25000000.0,0.0,,<30,1.6746,45
0.0,10000000.0,,<30,1.6746,45
0.0,37700000.0,,<30,1.6746,45
0.0,11000000.0,,<30,1.6746,45
31000000.0,0.0,,<30,1.6746,45
0.0,30900000.0,,<30,1.6746,45
12500000.0,0.0,,<30,1.6746,45
21000000.0,0.0,,<30,1.6746,45
8800000.0,0.0,,<30,1.6746,45
40800000.0,0.0,,<30,1.6746,45
10200000.0,0.0,,<30,1.6746,45
0.0,10400000.0,,<30,1.6746,45
0.0,20400000.0,,<30,1.6746,45
0.0,25000000.0,,<30,1.6746,45
0.0,20900000.0,,<30,1.6746,45
0.0,11000000.0,,<30,1.6746,45
0.0,21000000.0,,<30,1.6746,45
0.0,16500000.0,,<30,1.6746,45
7700000.0,0.0,,<30,1.6746,45
0.0,16700000.0,,<30,1.6746,45
10500000.0,0.0,,<30,1.6746,45
31000000.0,0.0,,<30,1.6746,45
30750000.0,0.0,,<30,1.6746,45
0.0,25000000.0,,<30,1.6746,45
0.0,56000000.0,,<30,1.6746,45
11000000.0,0.0,,<30,1.6746,45
0.0,15000000.0,,<30,1.6746,45
20000000.0,0.0,,<30,1.6746,45
0.0,15000000.0,,<30,1.6746,45
0.0,20400000.0,,<30,1.6746,45
16700000.0,0.0,,<30,1.6746,45
0.0,37000000.0,,<30,1.6746,45
102000000.0,0.0,,<30,1.6746,45
20000000.0,0.0,,<30,1.6746,45
0.0,20700000.0,,<30,1.6746,45
20600000.0,0.0,,<30,1.6746,45
0.0,10000000.0,,<30,1.6746,45
0.0,10300000.0,,<30,1.6746,45
0.0,31000000.0,,<30,1.6746,45
20700000.0,0.0,,<30,1.6746,45
0.0,41500000.0,,<30,1.6746,45
16700000.0,0.0,,<30,1.6746,45
0.0,20600000.0,,<30,1.6746,45
0.0,5400000.0,,<30,1.6746,45
20600000.0,0.0,,<30,1.6746,45
0.0,53000000.0,,<30,1.6746,45
0.0,5500000.0,,<30,1.6746,45
0.0,10000000.0,,<30,1.6746,45
1500000.0,0.0,,<30,1.6746,45
20500000.0,0.0,,<30,1.6746,45
0.0,20500000.0,,<30,1.6746,45
22000000.0,0.0,,<30,1.6746,45
0.0,70300000.0,,<30,1.6746,45
0.0,32000000.0,,<30,1.6746,45
50000000.0,0.0,,<30,1.6746,45
0.0,11000000.0,,<30,1.6746,45
0.0,20600000.0,,<30,1.6746,45
0.0,20000000.0,,<30,1.6746,45
0.0,10000000.0,,<30,1.6746,45
0.0,10000000.0,,<30,1.6746,45
0.0,20700000.0,,<30,1.6746,45
0.0,50000000.0,,<30,1.6746,45
17000000.0,0.0,,<30,1.6746,45
27000000.0,0.0,,<30,1.6746,45
12500000.0,0.0,,<30,1.6858,45
0.0,332739569.8,,<30,1.6858,45
105437456.4,0.0,,<30,1.6858,45
20000000.0,0.0,,<30,1.6858,45
0.0,11000000.0,,<30,1.6858,45
60610736.72,0.0,,<30,1.6858,45
14400000.0,0.0,,<30,1.6858,45
0.0,21000000.0,,<30,1.6858,45
10000000.0,0.0,,<30,1.6858,45
10500000.0,0.0,,<30,1.6858,45
0.0,21000000.0,,<30,1.6858,45
0.0,10000000.0,,<30,1.6858,45
0.0,50000000.0,,<30,1.6858,45
0.0,40000000.0,,<30,1.6858,45
20900000.0,0.0,,<30,1.6858,45
29200000.0,0.0,,<30,1.6858,45
0.0,326180120.1,,<30,1.6858,45
0.0,129660547.8,,<30,1.6858,45
0.0,120500000.0,,<30,1.6858,45
7200000.0,0.0,,<30,1.6858,45
0.0,8600000.0,,<30,1.6858,45
89261881.26,0.0,,<30,1.6858,45
220702086.9,0.0,,<30,1.6858,45
11000000.0,0.0,,<30,1.6858,45
0.0,112351591.5,,<30,1.6858,45
0.0,393996411.1,,<30,1.6858,45
10100000.0,0.0,,<30,1.6858,45
0.0,220000000.0,,<30,1.6858,45
10000000.0,0.0,,<30,1.6858,45
0.0,10000000.0,,<30,1.6858,45
10000000.0,0.0,,<30,1.6858,45
0.0,25400000.0,,<30,1.6858,45
0.0,20500000.0,,<30,1.6858,45
10000000.0,0.0,,<30,1.6858,45
258800000.0,0.0,,<30,1.6858,45
0.0,20800000.0,,<30,1.6858,45
25000000.0,0.0,,<30,1.6934,45
31300000.0,0.0,,<30,1.6934,45
0.0,104200000.0,,<30,1.6934,45
0.0,1196000000.0,,<30,1.6934,45
18800000.0,0.0,,<30,1.6934,45
4800000.0,0.0,,<30,1.6934,45
10000000.0,0.0,,<30,1.6934,45
0.0,79000000.0,,<30,1.6934,45
32800000.0,0.0,,<30,1.6934,45
0.0,5200000.0,,<30,1.6934,45
0.0,20500000.0,,<30,1.6934,45
0.0,10400000.0,,<30,1.6934,45
53200000.0,0.0,,<30,1.6934,45
0.0,10300000.0,,<30,1.6934,45
0.0,20400000.0,,<30,1.6934,45
0.0,552000000.0,,<30,1.6934,45
0.0,38300000.0,,<30,1.6934,45
1750000000.0,0.0,,<30,1.6934,45
0.0,5200000.0,,<30,1.6934,45
0.0,20900000.0,,<30,1.6934,45
31000000.0,0.0,,<30,1.6934,45
0.0,81000000.0,,<30,1.6934,45
0.0,80000000.0,,<30,1.6934,45
0.0,20800000.0,,<30,1.6934,45
0.0,20800000.0,,<30,1.6934,45
10300000.0,0.0,,<30,1.6934,45
13500000.0,0.0,,<30,1.6934,45
0.0,50000000.0,,<30,1.6934,45
20600000.0,0.0,,<30,1.6934,45
80000000.0,0.0,,<30,1.6934,45
0.0,16500000.0,,<30,1.6934,45
12500000.0,0.0,,<30,1.6934,45
20600000.0,0.0,,<30,1.6934,45
0.0,18800000.0,,<30,1.6934,45
102600000.0,0.0,,<30,1.6934,45
11000000.0,0.0,,<30,1.6934,45
80000000.0,0.0,,<30,1.6934,45
104200000.0,0.0,,<30,1.6934,45
0.0,10400000.0,,<30,1.6934,45
10300000.0,0.0,,<30,1.6934,45
10000000.0,0.0,,<30,1.6934,45
0.0,53900000.0,,<30,1.6934,45
0.0,18800000.0,,<30,1.6934,45
14400000.0,0.0,,<30,1.6934,45
12500000.0,0.0,,<30,1.6934,45
20000000.0,0.0,,<30,1.6934,45
10400000.0,0.0,,<30,1.6934,45
10400000.0,0.0,,<30,1.6934,45
10400000.0,0.0,,<30,1.6934,45
0.0,11000000.0,,<30,1.6934,45
11000000.0,0.0,,<30,1.6934,45
30800000.0,0.0,,<30,1.6934,45
202700000.0,0.0,,<30,1.6934,45
0.0,5000000.0,,<30,1.6934,45
20600000.0,0.0,,<30,1.6934,45
0.0,31300000.0,,<30,1.6934,45
20600000.0,0.0,,<30,1.6934,45
0.0,14300000.0,,<30,1.6934,45
20900000.0,0.0,,<30,1.6934,45
0.0,102500000.0,,<30,1.6934,45
10400000.0,0.0,,<30,1.6934,45
20900000.0,0.0,,<30,1.6934,45
0.0,20500000.0,,<30,1.6934,45
0.0,62000000.0,,<30,1.6934,45
10400000.0,0.0,,<30,1.6934,45
20600000.0,0.0,,<30,1.6934,45
20600000.0,0.0,,<30,1.6934,45
0.0,10200000.0,,<30,1.6934,45
55300000.0,0.0,,<30,1.6934,45
20600000.0,0.0,,<30,1.6934,45
0.0,50000000.0,,<30,1.6934,45
10400000.0,0.0,,<30,1.6934,45
0.0,18800000.0,,<30,1.6934,45
0.0,11000000.0,,<30,1.6934,45
25000000.0,0.0,,<30,1.6934,45
0.0,50000000.0,,<30,1.6934,45
0.0,54600000.0,,<30,1.6934,45
0.0,104300000.0,,<30,1.6943,45
20900000.0,0.0,,<30,1.6943,45
30000000.0,0.0,,<30,1.6943,45
100000000.0,0.0,,<30,1.6943,45
0.0,15000000.0,,<30,1.6943,45
10400000.0,0.0,,<30,1.6943,45
10400000.0,0.0,,<30,1.6943,45
20000000.0,0.0,,<30,1.6943,45
0.0,21000000.0,,<30,1.6943,45
10400000.0,0.0,,<30,1.6943,45
87200000.0,0.0,,<30,1.6943,45
5500000.0,0.0,,<30,1.6943,45
10400000.0,0.0,,<30,1.6943,45
0.0,20700000.0,,<30,1.6943,45
14600000.0,0.0,,<30,1.6943,45
10000000.0,0.0,,<30,1.6943,45
0.0,10000000.0,,<30,1.6943,45
20900000.0,0.0,,<30,1.6943,45
50000000.0,0.0,,<30,1.6943,45
12200000.0,0.0,,<30,1.6943,45
0.0,31100000.0,,<30,1.6943,45
20800000.0,0.0,,<30,1.6943,45
9400000.0,0.0,,<30,1.6943,45
54900000.0,0.0,,<30,1.6943,45
10400000.0,0.0,,<30,1.6943,45
10400000.0,0.0,,<30,1.6943,45
0.0,20800000.0,,<30,1.6943,45
0.0,20800000.0,,<30,1.6943,45
12800000.0,0.0,,<30,1.6943,45
0.0,10300000.0,,<30,1.6947,45
5000000.0,0.0,,<30,1.6947,45
0.0,8300000.0,,<30,1.6947,45
20600000.0,0.0,,<30,1.6947,45
102500000.0,0.0,,<30,1.6947,45
0.0,10200000.0,,<30,1.6947,45
10600000.0,0.0,,<30,1.6947,45
0.0,20700000.0,,<30,1.6947,45
41400000.0,0.0,,<30,1.6947,45
0.0,5500000.0,,<30,1.6947,45
0.0,20000000.0,,<30,1.6947,45
0.0,22100000.0,,<30,1.6947,45
10900000.0,0.0,,<30,1.6947,45
5500000.0,0.0,,<30,1.6947,45
0.0,11000000.0,,<30,1.6947,45
0.0,14000000.0,,<30,1.6947,45
0.0,20500000.0,,<30,1.6947,45
44000000.0,0.0,,<30,1.6947,45
0.0,50200000.0,,<30,1.6947,45
25000000.0,0.0,,<30,1.6947,45
17000000.0,0.0,,<30,1.6947,45
40500000.0,0.0,,<30,1.6947,45
0.0,20600000.0,,<30,1.6947,45
0.0,10000000.0,,<30,1.6947,45
27000000.0,0.0,,<30,1.6947,45
0.0,53800000.0,,<30,1.6947,45
50000000.0,0.0,,<30,1.6959,45
0.0,15000000.0,,<30,1.6959,45
14300000.0,0.0,,<30,1.6959,45
20900000.0,0.0,,<30,1.6959,45
0.0,20000000.0,,<30,1.6959,45
0.0,10000000.0,,<30,1.6959,45
0.0,16700000.0,,<30,1.6959,45
0.0,20900000.0,,<30,1.6959,45
42000000.0,0.0,,<30,1.6959,45
27100000.0,0.0,,<30,1.6959,45
27500000.0,0.0,,<30,1.6959,45
10200000.0,0.0,,<30,1.6959,45
16200000.0,0.0,,<30,1.6959,45
0.0,14600000.0,,<30,1.6959,45
12500000.0,0.0,,<30,1.6959,45
0.0,27500000.0,,<30,1.6959,45
109900000.0,0.0,,<30,1.6959,45
50000000.0,0.0,,<30,1.6959,45
0.0,10400000.0,,<30,1.6959,45
100000000.0,0.0,,<30,1.6959,45
0.0,16700000.0,,<30,1.6959,45
0.0,20900000.0,,<30,1.6959,45
0.0,20900000.0,,<30,1.6959,45
20900000.0,0.0,,<30,1.6959,45
50000000.0,0.0,,<30,1.6959,45
0.0,10000000.0,,<30,1.6959,45
21000000.0,0.0,,<30,1.6959,45
0.0,16700000.0,,<30,1.6959,45
0.0,54900000.0,,<30,1.6959,45
52300000.0,0.0,,<30,1.6959,45
20900000.0,0.0,,<30,1.6959,45
0.0,52300000.0,,<30,1.6959,45
0.0,50000000.0,,<30,1.6959,45
0.0,900000.0,,<30,1.6959,45
100000000.0,0.0,,<30,1.6959,45
9000000.0,0.0,,<30,1.6959,45
50000000.0,0.0,,<30,1.6959,45
10200000.0,0.0,,<30,1.6959,45
101400000.0,0.0,,<30,1.6959,45
0.0,140000000.0,,<30,1.6959,45
5500000.0,0.0,,<30,1.6959,45
0.0,10000000.0,,<30,1.6959,45
0.0,52000000.0,,<30,1.6959,45
0.0,25800000.0,,<30,1.6959,45
0.0,16200000.0,,<30,1.6959,45
0.0,70000000.0,,<30,1.6959,45
0.0,20900000.0,,<30,1.6959,45
50500000.0,0.0,,<30,1.6959,45
0.0,4300000.0,,<30,1.6959,45
0.0,208900000.0,,<30,1.6959,45
41800000.0,0.0,,<30,1.6959,45
0.0,12500000.0,,<30,1.6959,45
0.0,20400000.0,,<30,1.6969,45
0.0,50000000.0,,<30,1.6969,45
16700000.0,0.0,,<30,1.6969,45
0.0,16700000.0,,<30,1.6969,45
0.0,10600000.0,,<30,1.6969,45
31400000.0,0.0,,<30,1.6969,45
31300000.0,0.0,,<30,1.6969,45
0.0,16700000.0,,<30,1.6969,45
50000000.0,0.0,,<30,1.6969,45
0.0,20400000.0,,<30,1.6969,45
0.0,10600000.0,,<30,1.6969,45
0.0,10600000.0,,<30,1.6969,45
0.0,31300000.0,,<30,1.6969,45
20400000.0,0.0,,<30,1.6969,45
0.0,20400000.0,,<30,1.6969,45
10400000.0,0.0,,<30,1.6969,45
0.0,5000000.0,,<30,1.7038,45
16400000.0,0.0,,<30,1.7038,45
0.0,20600000.0,,<30,1.7038,45
0.0,20900000.0,,<30,1.7038,45
20900000.0,0.0,,<30,1.7038,45
20900000.0,0.0,,<30,1.7038,45
6300000.0,0.0,,<30,1.7038,45
0.0,16700000.0,,<30,1.7038,45
0.0,10400000.0,,<30,1.7038,45
50000000.0,0.0,,<30,1.7038,45
0.0,20400000.0,,<30,1.7038,45
0.0,20900000.0,,<30,1.7038,45
0.0,20900000.0,,<30,1.7038,45
0.0,20900000.0,,<30,1.7038,45
0.0,70000000.0,,<30,1.7038,45
41000000.0,0.0,,<30,1.7038,45
20900000.0,0.0,,<30,1.7038,45
15000000.0,0.0,,<30,1.7038,45
0.0,38100000.0,,<30,1.7038,45
20400000.0,0.0,,<30,1.7038,45
45600000.0,0.0,,<30,1.7038,45
10200000.0,0.0,,<30,1.7038,45
0.0,20800000.0,,<30,1.7038,45
24800000.0,0.0,,<30,1.7038,45
12200000.0,0.0,,<30,1.7038,45
20400000.0,0.0,,<30,1.7038,45
0.0,21000000.0,,<30,1.7038,45
0.0,5000000.0,,<30,1.7038,45
0.0,20400000.0,,<30,1.7038,45
0.0,28000000.0,,<30,1.7038,45
20000000.0,0.0,,<30,1.7038,45
14600000.0,0.0,,<30,1.7038,45
0.0,41200000.0,,<30,1.7038,45
41800000.0,0.0,,<30,1.7038,45
0.0,20500000.0,,<30,1.7038,45
20900000.0,0.0,,<30,1.7038,45
0.0,6000000.0,,<30,1.7038,45
10300000.0,0.0,,<30,1.7038,45
8800000.0,0.0,,<30,1.7038,45
50000000.0,0.0,,<30,1.7038,45
16700000.0,0.0,,<30,1.7038,45
10400000.0,0.0,,<30,1.7038,45
16400000.0,0.0,,<30,1.7038,45
0.0,20000000.0,,<30,1.7038,45
0.0,20700000.0,,<30,1.7038,45
6000000.0,0.0,,<30,1.7038,45
0.0,5600000.0,,<30,1.7038,45
0.0,10200000.0,,<30,1.7038,45
0.0,20400000.0,,<30,1.7038,45
0.0,20600000.0,,<30,1.7038,45
39400000.0,0.0,,<30,1.7038,45
55000000.0,0.0,,<30,1.7038,45
0.0,20800000.0,,<30,1.7038,45
26000000.0,0.0,,<30,1.7038,45
15000000.0,0.0,,<30,1.7038,45
2100000.0,0.0,,<30,1.7038,45
0.0,22700000.0,,<30,1.7039,45
95800000.0,0.0,,<30,1.7039,45
10200000.0,0.0,,<30,1.7039,45
27000000.0,0.0,,<30,1.7039,45
0.0,10300000.0,,<30,1.7039,45
103500000.0,0.0,,<30,1.7039,45
0.0,4500000.0,,<30,1.7039,45
0.0,20600000.0,,<30,1.7039,45
0.0,51500000.0,,<30,1.7039,45
4600000.0,0.0,,<30,1.7039,45
